カテゴリ,No,テスト項目,期待結果,結果,結果備考,備考
  初期状態,1,新規インストール直後の起動,Premium=false,◯,,
  初期状態,2,設定画面「ページ数」「ループ」がロック状態,ロック色表示,◯,,
  初期状態,3,商品価格が正しく表示される,円表記で表示,◯,まだ円しかみてない,ロケールに従った表示か
  買い切り購入,4,購入完了後、即座にPremium=true,プレミアム有効,◯,,そもそものUIとして、購入前緑背景、購入後普通背景、でいいのか？
  買い切り購入,5,設定画面でページ数変更可能,操作可能,◯,,
  買い切り購入,6,ページ追加してレイアウト配置,正常動作,??,追加したページにアプリを置くと、元のページにおいてた同じやつがなくなった。別ページならアイテム重複は許容する。,
  買い切り購入,7,ショートカット背景色文字色設定,正常に反映,◯,,
  購入→再インストール,8,再インストール後、購入情報復元,Premium=true,??,非プレミアムの状態。タップでダイアログが出る。再度課金ボタンを押す→購入済み　となる。,
  購入→再インストール,9,設定画面の項目が正常,ページ数設定可能,◯,,
  購入→再インストール,10,ページングが使える,スワイプ可能,◯,,
  購入→再インストール,11,レイアウトは復元されない,期待動作（バックアップから復元）,◯,,
  バックアップ/リストア,12,バックアップ出力,JSONファイル共有,△,プリインストールのfilesがでない（インストールもされている）,
  バックアップ/リストア,13,リストアでレイアウト復元,正常復元,,,
  バックアップ/リストア,14,リストアでショートカット色も復元,背景色・文字色反映,,,
  注文キャンセル,15,キャンセル後アプリ再起動,Premium=false,◯,,
  注文キャンセル,16,2ページ目以降アクセス不可,ロック,◯,,キャンセル前にページ追加してた場合、キャンセル後、ずっとページは移動できるが使えない状態。これは良いのか。ページ移動できないようにするほうが良いか。
  注文キャンセル,17,設定画面「ページ数」がロック状態,ロック色表示,◯,,
  注文キャンセル,18,1ページ目のレイアウトは維持,消えない,◯,,
  注文キャンセル→動画,19,動画視聴でプレミアム一時解放,Premium=true（24h）,,,テストでは5分に変更
  注文キャンセル→動画,20,2ページ目以降アクセス可能,スワイプ可能,,,
  動画広告視聴,21,広告視聴完了後Premium=true,24時間有効,,,すぐ有効になることを確認
  動画広告視聴,22,ページ数変更・ページ追加可能,操作可能,◯,,
  動画広告視聴,23,レイアウト編集可能,正常動作,◯,,
  動画広告視聴,24,24時間経過後Premium=false,ロック状態に戻る,,,テストでは5分に変更
  動画広告視聴,25,2ページ目以降がロック,アクセス不可,,,
  動画広告視聴,26,追加したレイアウトデータは保持,再解放で表示される,,,
  動画→再インストール,27,期限内にアンインストール→再インストール,Premium失効（不可抗力）,,,
  UI表示,28,,,,,
  UI表示,29,,,,,
  UI表示,30,,,,,
  UI表示,31,価格表示が正しい,円表記,,,ロケールに従った表示か
  エッジケース,32,ネットワーク切断時の課金処理,エラー表示,,,
  エッジケース,33,課金途中でアプリkill→復帰,適切に処理,,,タイミングシビアかも・・
  実装確認,34,バックアップ/リストアがPremium表示,現状無料→要修正,,,
  クリーンアップ,35,Toast表示削除,本番ビルドで非表示,,,
  クリーンアップ,36,デバッグログ整理,適切なレベル,,,
  クリーンアップ,37,バージョン確定,1.0.10,,,
,,,,,ボタンサイズに対して文字サイズの調整がまだ微妙。空白が目立つケースがある。,
